speed,deceleration,deltadistance,delta_time,detection
46.81,4.5515,222.7023,2.494107723,
46.81,4.5515,222.7023,2.494107723,
46.29,4.5515,44.6438,1.017027855,
45.27,0.0942,39.2036,0.910547495,
45.27,-0.8096,24.822,0.52557826,
45.27,0.364,19.287,0.421827793,
45.27,-0.7111,25.8121,0.522847891,
44.24,1.6862,18.8842,0.45049572,
44.24,-2.0021,30.05,0.566532612,
43.72,1.3813,26.4684,0.58700943,
43.21,0.7888,33.6623,0.879149437,
43.21,-0.3721,40.9118,0.977438927,
42.18,0.0259,41.5725,0.999281406,
41.66,-0.1122,47.468,1.108492613,
40.12,0.5754,34.7119,0.922833443,
39.09,-0.391,19.3553,0.490084171,
38.06,-1.7971,21.142,0.446400642,
37.55,4.7698,11.8499,0.451860905,
37.03,-3.624,25.8115,0.55970645,
37.03,4.2833,11.9344,0.417732,
35.49,-1.9629,21.816,0.555612326,
34.98,2.4579,14.6049,0.574724197,
33.95,-4.5791,25.3653,0.520117044,
33.43,4.8031,12.6111,0.533769131,
32.4,-0.9774,11.5854,0.419097185,
31.89,-1.5776,21.8717,0.593835592,
31.38,0.8344,17.2129,0.52967453,
29.83,0.1245,18.5282,0.582913399,
29.83,0.8438,14.7335,0.53922987,
29.32,-0.81,18.776,0.58700943,
27.77,2.0214,11.0162,0.49827528,
26.75,-2.7005,18.528,0.517387629,
26.23,4.6934,6.957,0.402715683,
25.72,-1.7097,15.5665,0.57745409,
24.69,0.5967,10.0586,0.409541845,
24.69,0.2236,11.6325,0.49554491,
23.66,-0.3181,14.5585,0.576089144,
23.14,0.8102,11.3623,0.541959286,
23.14,-1.4328,11.2098,0.417732477,
22.63,0.0067,11.6005,0.432749033,
21.6,1.4345,9.899,0.501005411,
21.09,0.4965,8.2048,0.469608068,
20.57,-0.2691,11.3622,0.596565723,
20.06,-1.8844,14.0783,0.498275757,
19.03,3.6857,5.4869,0.421827316,
19.03,-1.9685,11.5841,0.507831812,
18,0.3956,16.4612,0.842290401,
17.49,0.6721,7.8872,0.481894255,
16.97,-0.0897,9.0342,0.536499262,
16.46,-0.0991,7.3485,0.425923347,
16.46,1.1881,5.3327,0.439574957,
15.94,-0.6133,7.3654,0.488719225,
14.91,0.1578,8.2048,0.578818798,
14.4,-0.6101,9.496,0.544690132,
14.4,1.3385,5.1975,0.451860666,
13.88,-0.7341,7.6466,0.505101442,
13.37,0.2171,8.2048,0.591112375,
12.86,0.6173,5.2499,0.477791071,
12.34,-0.0074,6.0065,0.544690371,
11.83,-0.1743,6.9912,0.581549168,
11.31,-0.0197,5.7713,0.476433277,
11.31,0.0792,5.9822,0.510561705,
10.8,0.4192,4.9413,0.514657259,
10.28,-0.4295,5.962,0.507831573,
10.28,0.4472,4.4413,0.455956221,
9.77,-0.3267,5.5082,0.487354517,
9.25,0.8348,3.5022,0.469607592,
8.74,-0.2512,4.9318,0.558341742,
8.74,0.3971,3.7423,0.563802242,
7.97,-0.9453,4.6887,0.438209534,
7.45,0.5649,3.8255,0.473703146,
7.2,0.7087,2.3439,0.563802242,
6.94,-0.8121,4.6272,0.544690132,
6.68,0.4719,2.9575,0.466877222,
6.43,0.1607,2.8621,0.518752813,
6.43,-0.0121,2.648,0.475068331,
6.17,-0.5291,4.3327,0.522847891,
6.17,0.4387,3.1515,0.521482706,
5.91,0.0369,2.5552,0.434114218,
5.91,-0.0478,3.5551,0.577453613,
5.65,0.0063,2.7775,0.453226089,
5.65,0.1666,2.5552,0.477798462,
5.4,0.064,2.4442,0.484624147,
5.4,-0.0616,2.9576,0.550150633,
5.4,-0.007,2.7774,0.513292074,
5.14,-0.1831,2.8886,0.462782145,
20.06,-0.7417,13.1637,0.580007792,
